Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
"10107","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx/1.18.0 (Ubuntu)","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10107","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

nginx","","","","","None","","IAVT:0001-T-0931","","2000/01/04","2020/10/30","","",""
"10180","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","0","Ping the remote host","It was possible to identify the status of the remote host (alive or
dead).","Nessus was able to determine if the remote host is alive using one or
more of the following ping types :

  - An ARP ping, provided the host is on the local subnet
    and Nessus is running over Ethernet.

  - An ICMP ping.

  - A TCP ping, in which the plugin sends to the remote host
    a packet with the flag SYN, and the host will reply with
    a RST or a SYN/ACK.

  - A UDP ping (e.g., DNS, RPC, and NTP).","n/a","","The remote host is up
The remote host replied to a TCP SYN packet sent to port 80 with a SYN,ACK packet","","","","","None","","","","1999/06/24","2021/10/04","","",""
"10287","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 10.10.50.56 to 54.169.76.206 : 
10.10.50.56
54.169.76.206

Hop Count: 1
","","","","","None","","","","1999/11/27","2020/08/20","","",""
"10302","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","443","Web Server robots.txt Information Disclosure","The remote web server contains a 'robots.txt' file.","The remote host contains a file named 'robots.txt' that is intended to
prevent web 'robots' from visiting certain directories in a website for
maintenance or indexing purposes.  A malicious user may also be able to
use the contents of this file to learn of sensitive documents or
directories on the affected site and either retrieve them directly or
target them for other attacks.","Review the contents of the site's robots.txt file, use Robots META tags
instead of entries in the robots.txt file, and/or adjust the web
server's access controls to limit access to sensitive material.","http://www.robotstxt.org/orig.html","Contents of robots.txt :

User-agent: *
Disallow:
","","","","","None","","","","1999/10/12","2018/11/15","","",""
"10335","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","53","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 53/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"10335","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","80","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 80/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"10335","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","443","Nessus TCP scanner","It is possible to determine which TCP ports are open.","This plugin is a classical TCP port scanner. 
It shall be reasonably quick even against a firewalled target.

Once a TCP connection is open, it grabs any available banner
for the service identification plugins.

Note that TCP scanners are more intrusive than 
SYN (half open) scanners.","Protect your target with an IP filter.","","Port 443/tcp was found to be open","","","","","None","","","","2009/02/04","2022/02/14","","",""
"10863","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Common Name: testing.addityar.xyz

Issuer Name: 

Country: US
Organization: Let's Encrypt
Common Name: R3

Serial Number: 03 67 44 F8 33 54 E8 DE DB 6C 7E E1 B3 AB E9 6B 03 40 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Mar 31 03:41:11 2022 GMT
Not Valid After: Jun 29 03:41:10 2022 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 BE EF 33 4F 6C 52 45 51 7A CA 4B A6 72 E6 1F D3 6C 70 95 
            CE D4 79 14 BE E0 9E 06 35 F3 8C B6 CF 96 EA 60 57 38 04 DB 
            ED E2 FB 33 D9 EE 61 FE A5 80 37 4F AE 95 E0 EE 9B EE 9C 19 
            6C 30 31 56 78 55 B2 DD 6F 5F 12 72 2C B8 54 2F A7 F7 FA 6C 
            79 41 A8 AC E1 CA 5E F7 A0 07 B6 3D 18 7C F2 69 28 6E BF B1 
            4D 68 A3 18 24 8B CF 1D 7B 79 69 BC 5E 84 F1 F1 4C 76 73 0D 
            F0 56 62 A5 09 BE A8 07 D4 28 B1 0C E1 54 D2 A9 F8 C8 53 EC 
            9E 33 73 96 E6 2D EB 3A A0 50 06 B4 70 99 50 2E 4C 79 0B E7 
            AC A1 4D 47 99 7A 09 DB 9A 9D DC A1 5C A6 B4 01 4E E6 20 E3 
            1C A6 71 30 22 7E 01 1A 58 71 F6 95 CA 92 E9 C3 4C F9 9F 3B 
            33 7A 84 0A 5E 2D D7 3A 11 DB 5B BC 54 9A C7 21 7C 5B D0 FC 
            38 CE ED 24 D0 96 B9 BE F2 21 5F BC 12 A5 6C A9 BB 56 70 B5 
            44 F4 C4 EA DF 01 E7 3F CC 28 23 5C 27 88 83 34 8B 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 23 79 BD 42 1A 37 EF 3A 8D 5D F7 B7 DA 96 13 EE 81 3A 54 
           5C FB A9 BC 5B 40 71 A5 23 37 A4 0B 80 33 DC CB B2 07 59 13 
           6A FC EF E8 CA BE D0 8C 98 22 FC 07 66 D6 DA EF 8F CF 18 19 
           AA D0 4F 57 42 C9 AE 24 84 64 7C 49 D3 21 18 40 2E 42 0D 71 
           0E 3C 6F E0 E6 85 65 B9 30 EB 80 4A 4D EC C0 47 41 50 DB 15 
           E0 AE FB 6D 31 27 FD AD 53 92 3D 0E D3 8C 23 55 21 64 A7 38 
           5C BF 0E 04 F0 99 1D 0D CC FD DB 8F B7 D3 6C 14 A9 E6 75 8D 
           A7 A9 05 E5 B6 8E 05 BE 24 81 F0 B2 6F 45 46 8B 73 3E 2A CB 
           04 92 9C 39 5C 4F A1 10 21 ED 22 4B 25 8B 12 78 30 46 1C F4 
           86 55 6D AB 1F 0C F4 D1 2C E5 BE 93 42 17 51 F1 FA FA CC 86 
           FB D7 EC 9F 9C 19 7A BC 9A 17 1E 68 0A 6B 25 09 22 AE 45 BB 
           CB 96 3E 6B 25 05 26 C1 A5 3A 3F 06 5A EB 28 4C 3E 2D BF 1A 
           10 3A 1D 5C 58 49 6E 91 F5 C0 CC 0D E0 B8 08 C0 F7 

Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: Basic Constraints (2.5.29.19)
Critical: 1


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 9B 6C AC 8E 06 EA C1 73 57 8F E6 72 A9 09 67 6C A8 32 2B 7B 


Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 14 2E B3 17 B7 58 56 CB AE 50 09 40 E6 1F AF 9D 8B 14 C2 C6 


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Online Certificate Status Protocol
URI: http://r3.o.lencr.org
Method#2: Certificate Authority Issuers
URI: http://r3.i.lencr.org/


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: testing.addityar.xyz


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 2.23.140.1.2.1
Policy ID #2: 1.3.6.1.4.1.44947.1.1.1
Qualifier ID #2: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: http://cps.letsencrypt.org


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F3 00 F1 00 76 00 41 C8 CA B1 DF 22 46 4A 10 C6 A1 3A 
      09 42 87 5E 4E 31 8B 1B 03 EB EB 4B C7 68 F0 90 62 96 06 F6 
      00 00 01 7F DE 47 09 59 00 00 04 03 00 47 30 45 02 21 00 F0 
      E4 89 00 2A EE 80 AB 41 48 16 A8 D4 58 0D 47 29 11 CB 48 4A 
      55 4C E0 CE F1 18 24 F7 C6 C9 79 02 20 49 AE D7 78 AC C8 72 
      E8 83 34 84 0C D6 8B D9 51 2D DE AA C7 68 A8 5A BA 61 53 8F 
      52 18 71 0E 2A 00 77 00 29 79 BE F0 9E 39 39 21 F0 56 73 9F 
      63 A5 77 E5 BE 57 7D 9C 60 0A F8 F9 4D 5D 26 5C 25 5D C7 84 
      00 00 01 7F DE 47 0B 17 00 00 04 03 00 48 30 46 02 21 00 90 
      68 E5 9B 03 4B 99 3E 38 DA 3E B8 3E EA 97 6E 27 0C 60 0A 5E 
      1F 51 E9 09 1C 88 72 81 AA 37 1B 02 21 00 A7 EE B5 D0 99 DA 
      95 26 C2 5D 44 F7 CD 57 41 AB 60 D9 A1 7D ED 2F B0 CE 34 92 
      0B 79 E6 F5 32 56 


Fingerprints : 

SHA-256 Fingerprint: E5 47 84 DD 15 BC 3A B8 62 D4 AA FC E0 E7 38 89 94 45 3C EF 
                     44 45 9F 63 27 E9 60 43 0C 09 C6 38 
SHA-1 Fingerprint: F7 B8 F9 B3 19 0B 6F CE 8A 69 F5 6F 52 92 93 D7 5B 1F 0B 34 
MD5 Fingerprint: 2A C6 26 2E 06 65 2D 3C 8C 43 90 E3 90 CD 32 89 


PEM certificate : 

-----BEGIN CERTIFICATE-----
MIIFLzCCBBegAwIBAgISA2dE+DNU6N7bbH7hs6vpawNAMA0GCSqGSIb3DQEBCwUAMDIxCzAJBgNVBAYTAlVTMRYwFAYDVQQKEw1MZXQncyBFbmNyeXB0MQswCQYDVQQDEwJSMzAeFw0yMjAzMzEwMzQxMTFaFw0yMjA2MjkwMzQxMTBaMB8xHTAbBgNVBAMTFHRlc3RpbmcuYWRkaXR5YXIueHl6MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvu8zT2xSRVF6ykumcuYf02xwlc7UeRS+4J4GNfOMts+W6mBXOATb7eL7M9nuYf6lgDdPrpXg7pvunBlsMDFWeFWy3W9fEnIsuFQvp/f6bHlBqKzhyl73oAe2PRh88mkobr+xTWijGCSLzx17eWm8XoTx8Ux2cw3wVmKlCb6oB9QosQzhVNKp+MhT7J4zc5bmLes6oFAGtHCZUC5MeQvnrKFNR5l6CduandyhXKa0AU7mIOMcpnEwIn4BGlhx9pXKkunDTPmfOzN6hApeLdc6EdtbvFSaxyF8W9D8OM7tJNCWub7yIV+8EqVsqbtWcLVE9MTq3wHnP8woI1wniIM0iwIDAQABo4ICUDCCAkwwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAMBgNVHRMBAf8EAjAAMB0GA1UdDgQWBBSbbKyOBurBc1eP5nKpCWdsqDIrezAfBgNVHSMEGDAWgBQULrMXt1hWy65QCUDmH6+dixTCxjBVBggrBgEFBQcBAQRJMEcwIQYIKwYBBQUHMAGGFWh0dHA6Ly9yMy5vLmxlbmNyLm9yZzAiBggrBgEFBQcwAoYWaHR0cDovL3IzLmkubGVuY3Iub3JnLzAfBgNVHREEGDAWghR0ZXN0aW5nLmFkZGl0eWFyLnh5ejBMBgNVHSAERTBDMAgGBmeBDAECATA3BgsrBgEEAYLfEwEBATAoMCYGCCsGAQUFBwIBFhpodHRwOi8vY3BzLmxldHNlbmNyeXB0Lm9yZzCCAQUGCisGAQQB1nkCBAIEgfYEgfMA8QB2AEHIyrHfIkZKEMahOglCh15OMYsbA+vrS8do8JBilgb2AAABf95HCVkAAAQDAEcwRQIhAPDkiQAq7oCrQUgWqNRYDUcpEctISlVM4M7xGCT3xsl5AiBJrtd4rMhy6IM0hAzWi9lRLd6qx2ioWrphU49SGHEOKgB3ACl5vvCeOTkh8FZzn2Old+W+V32cYAr4+U1dJlwlXceEAAABf95HCxcAAAQDAEgwRgIhAJBo5ZsDS5k+ONo+uD7ql24nDGAKXh9R6QkciHKBqjcbAiEAp+610JnalSbCXUT3zVdBq2DZoX3tL7DONJILeeb1MlYwDQYJKoZIhvcNAQELBQADggEBACN5vUIaN+86jV33t9qWE+6BOlRc+6m8W0BxpSM3pAuAM9zLsgdZE2r87+jKvtCMmCL8B2bW2u+PzxgZqtBPV0LJriSEZHxJ0yEYQC5CDXEOPG/g5oVluTDrgEpN7MBHQVDbFeCu+20xJ/2tU5I9DtOMI1UhZKc4XL8OBPCZHQ3M/duPt9NsFKnmdY2nqQXlto4FviSB8LJvRUaLcz4qywSSnDlcT6EQIe0iSyWLEngwRhz0hlVtqx8M9NEs5b6TQhdR8fr6zIb71+yfnBl6vJoXHmgKayUJIq5Fu8uWPmslBSbBpTo/BlrrKEw+Lb8aEDodXFhJbpH1wMwN4LgIwPc=
-----END CERTIFICATE-----","","","","","None","","","","2008/05/19","2021/02/03","","",""
"11002","","","None","ec2-54-169-76-206.ap-southeast-1.compute.amazonaws.com","tcp","53","DNS Server Detection","A DNS server is listening on the remote host.","The remote service is a Domain Name System (DNS) server, which
provides a mapping between hostnames and IP addresses.","Disable this service if it is not needed or restrict access to
internal hosts only if the service is available externally.","https://en.wikipedia.org/wiki/Domain_Name_System","","","","","","None","","","","2003/02/13","2017/05/16","","",""
